condition,date,floors,price,view,waterfront,yr_built,yr_renovated,sqft_above,sqft_basement,sqft_living,sqft_lot,bathrooms,bedrooms,street,city,statezip,country
3,20140502T000000,1.5,313000.0,0,0,1955,,1340,0,1340,7912,1.5,3,18810 Densmore Ave N,Shoreline,WA 98133,USA
5,20140502T000000,2.0,2384000.0,4,0,1921,,3370,280,3650,9050,2.5,5,709 W Blaine St,Seattle,WA 98119,USA
4,20140502T000000,1.0,342000.0,0,0,1966,,1930,0,1930,11947,2.0,3,26206-26214 143rd Ave SE,Kent,WA 98042,USA
4,20140502T000000,1.0,420000.0,0,0,1963,,1000,1000,2000,8030,2.25,3,857 170th Pl NE,Bellevue,WA 98008,USA
4,20140502T000000,1.0,550000.0,0,0,1976,,1140,800,1940,10500,2.5,4,9105 170th Ave NE,Redmond,WA 98052,USA
3,20140502T000000,1.0,490000.0,0,0,1938,1994,880,0,880,6380,1.0,2,522 NE 88th St,Seattle,WA 98115,USA
3,20140502T000000,1.0,335000.0,0,0,1976,,1350,0,1350,2560,2.0,2,2616 174th Ave NE,Redmond,WA 98052,USA
3,20140502T000000,2.0,482000.0,0,0,1989,,2710,0,2710,35868,2.5,4,23762 SE 253rd Pl,Maple Valley,WA 98038,USA
4,20140502T000000,1.0,452500.0,0,0,1985,,1570,860,2430,88426,2.5,3,46611-46625 SE 129th St,North Bend,WA 98045,USA
3,20140502T000000,1.5,640000.0,0,0,1945,,1520,0,1520,6200,2.0,4,6811 55th Ave NE,Seattle,WA 98115,USA
3,20140502T000000,1.0,463000.0,0,0,1948,,1710,0,1710,7320,1.75,3,Burke-Gilman Trail,Lake Forest Park,WA 98155,USA
5,20140502T000000,1.5,1400000.0,0,0,1909,,1910,1010,2920,4000,2.5,4,3838-4098 44th Ave NE,Seattle,WA 98105,USA
3,20140502T000000,1.0,588500.0,0,0,1980,,1970,360,2330,14892,1.75,3,1833 220th Pl NE,Sammamish,WA 98074,USA
4,20140502T000000,1.0,365000.0,0,0,1955,,1090,0,1090,6435,1.0,3,2504 SW Portland Ct,Seattle,WA 98106,USA
3,20140502T000000,1.5,1200000.0,0,0,1939,,2910,0,2910,9480,2.75,5,3534 46th Ave NE,Seattle,WA 98105,USA
4,20140502T000000,1.0,242500.0,0,0,1965,,1200,0,1200,9720,1.5,3,14034 SE 201st St,Kent,WA 98042,USA
4,20140502T000000,1.0,419000.0,0,0,1956,,1570,0,1570,6700,1.5,3,15424 SE 9th St,Bellevue,WA 98007,USA
3,20140502T000000,2.0,367500.0,0,0,1997,,3110,0,3110,7231,3.0,4,11224 SE 306th Pl,Auburn,WA 98092,USA
3,20140502T000000,1.0,257950.0,0,0,1987,,1370,0,1370,5858,1.75,3,1605 S 245th Pl,Des Moines,WA 98198,USA
3,20140502T000000,1.0,275000.0,0,0,1983,,1180,0,1180,10277,1.5,3,12425 415th Ave SE,North Bend,WA 98045,USA
5,20140502T000000,2.0,750000.0,0,0,1923,,1550,690,2240,10578,1.75,3,3225 NE 92nd St,Seattle,WA 98115,USA
4,20140502T000000,1.0,435000.0,0,0,1954,,1450,0,1450,8800,1.0,4,3922 154th Ave SE,Bellevue,WA 98006,USA
3,20140502T000000,2.5,626000.0,0,0,2005,,1470,280,1750,1572,2.25,3,3140 Franklin Ave E,Seattle,WA 98102,USA
3,20140502T000000,2.0,612500.0,0,0,1991,,2730,0,2730,12261,2.5,4,10212 NE 156th Pl,Bothell,WA 98011,USA
3,20140502T000000,1.0,495000.0,0,0,1959,,1130,470,1600,6380,1.75,4,2021 NE 100th St,Seattle,WA 98125,USA
4,20140502T000000,1.0,285000.0,0,0,1987,,1360,730,2090,10834,2.5,3,27736 23rd Avenue South,Federal Way,WA 98003,USA
4,20140502T000000,1.0,615000.0,0,0,1948,,1360,1000,2360,7291,1.75,3,8436-8438 41st Ave SW,Seattle,WA 98136,USA
5,20140502T000000,1.5,698000.0,0,0,1920,,1300,900,2200,11250,2.25,4,1036 4th St,Kirkland,WA 98033,USA
3,20140502T000000,2.0,675000.0,0,0,1979,,2820,0,2820,67518,2.5,5,23525 SE 32nd Way,Issaquah,WA 98029,USA
4,20140502T000000,1.0,790000.0,0,0,1951,,1700,900,2600,4750,2.5,3,3314 NW 75th St,Seattle,WA 98117,USA
4,20140502T000000,1.0,382500.0,0,0,1967,,1560,0,1560,8700,1.75,4,14104 119th Ave NE,Kirkland,WA 98034,USA
3,20140502T000000,2.0,499950.0,0,0,2004,,2190,670,2860,3345,2.5,4,20120 137th Ave NE,Woodinville,WA 98072,USA
3,20140502T000000,1.5,650000.0,1,0,1945,,1640,180,1820,5000,2.0,4,7201-7399 55th Ave NE,Seattle,WA 98115,USA
3,20140502T000000,2.0,625000.0,0,0,2014,,2820,0,2820,8408,2.5,4,17052 4th Ave NE,Shoreline,WA 98155,USA
3,20140502T000000,1.5,400000.0,0,0,1979,,2300,1330,3630,42884,2.5,4,5172-5198 Heather Ave SE,Auburn,WA 98092,USA
3,20140502T000000,2.0,604000.0,2,0,1995,,3240,0,3240,33151,2.5,3,30822 36th Ct SW,Federal Way,WA 98023,USA
4,20140502T000000,1.0,440000.0,0,0,1944,,800,0,800,4850,1.0,2,4801-4899 6th Ave NW,Seattle,WA 98107,USA
4,20140502T000000,1.0,287200.0,0,0,1992,,1090,760,1850,19966,3.0,3,23017 SE 281st Ct,Maple Valley,WA 98038,USA
5,20140502T000000,1.0,403000.0,2,0,1957,,1650,310,1960,13100,2.0,3,17825 4th Ave SW,Normandy Park,WA 98166,USA
4,20140502T000000,1.0,750000.0,2,0,1955,,1440,950,2390,6550,2.5,3,3628 59th Ave SW,Seattle,WA 98116,USA
4,20140502T000000,1.0,335000.0,0,0,1978,,1580,0,1580,16215,2.25,3,4460 332nd Ave SE,Fall City,WA 98024,USA
4,20140502T000000,1.0,260000.0,0,0,1974,,1480,0,1480,8625,2.0,4,2019 Aberdeen Pl SE,Renton,WA 98055,USA
4,20140502T000000,1.0,308500.0,0,0,1950,,850,0,850,6174,1.0,2,121 NE 147th St,Shoreline,WA 98155,USA
3,20140502T000000,2.0,439950.0,0,0,1990,,1770,0,1770,2875,2.5,3,4458 51st Ave SW,Seattle,WA 98116,USA
2,20140502T000000,1.0,235000.0,0,0,1949,,1210,0,1210,9400,1.0,2,7542 21st Ave SW,Seattle,WA 98106,USA
3,20140502T000000,1.0,315000.0,0,0,1968,,1160,0,1160,9180,1.0,3,15804 198th Pl NE,Woodinville,WA 98077,USA
4,20140502T000000,2.0,437500.0,0,0,1977,,1970,0,1970,35100,2.25,3,26069 SE 154th St,Issaquah,WA 98027,USA
3,20140502T000000,2.0,407500.0,0,0,1996,,1930,0,1930,10460,2.5,3,4314 NE 6th Pl,Renton,WA 98059,USA
3,20140502T000000,3.0,445700.0,0,0,2001,,1270,0,1270,1180,2.5,3,2640 NW 56th St,Seattle,WA 98107,USA
3,20140502T000000,2.0,838000.0,0,0,2001,,3310,0,3310,42998,2.5,4,15712 NE 136th Pl,Redmond,WA 98052,USA
3,20140502T000000,2.0,630000.0,0,0,2000,,2710,0,2710,37277,2.75,4,26429 SE 154th Pl,Issaquah,WA 98027,USA
3,20140502T000000,1.5,550000.0,0,0,1979,,2910,0,2910,35200,1.75,3,3923 229th Pl SE,Sammamish,WA 98075,USA
4,20140502T000000,1.5,805000.0,0,0,1929,,1880,830,2710,4500,2.0,3,6222 30th Ave NE,Seattle,WA 98115,USA
3,20140502T000000,1.0,284000.0,0,0,1968,,1800,0,1800,23103,1.75,3,32418 NE 50th St,Coronation,WA 98014,USA
3,20140502T000000,1.0,470000.0,0,0,1976,,1460,750,2210,9655,2.5,5,19334 89th Ave NE,Bothell,WA 98011,USA
4,20140502T000000,1.0,430000.0,0,0,1954,,1070,850,1920,10000,1.5,4,4071 156th Ave SE,Bellevue,WA 98006,USA
3,20140502T000000,1.0,491500.0,2,0,1968,,2190,0,2190,125452,1.75,4,36850 204th Ave SE,Auburn,WA 98092,USA
3,20140502T000000,2.0,785000.0,2,0,2006,,3660,0,3660,11995,3.25,5,7425 Snowberry Ave SE,Snoqualmie,WA 98065,USA
3,20140502T000000,2.0,385000.0,0,0,2008,,1040,280,1320,1327,3.25,3,3400 21st Ave W,Seattle,WA 98199,USA
3,20140502T000000,2.0,295000.0,0,0,2009,,1280,350,1630,1368,2.5,2,5944-6082 Delridge Way SW,Seattle,WA 98106,USA
3,20140502T000000,2.0,555000.0,0,0,2012,,3310,0,3310,6500,2.5,4,35229 SE Terrace St,Snoqualmie,WA 98065,USA
3,20140502T000000,2.0,459990.0,0,0,2013,,2680,0,2680,5539,2.5,3,13800 453rd Ave SE,North Bend,WA 98045,USA
3,20140502T000000,1.0,625000.0,0,0,2007,,1560,1170,2730,54014,3.25,4,9927 174th Ave SE,Renton,WA 98059,USA
3,20140502T000000,2.0,300000.0,0,0,2006,,2540,0,2540,5050,2.5,3,29734 215th Terrace SE,Kent,WA 98042,USA
3,20140503T000000,2.0,625000.0,0,0,2012,,2920,0,2920,6605,2.75,4,5608 NE 5th Cir,Renton,WA 98059,USA
3,20140503T000000,1.0,553000.0,0,0,1944,,900,0,900,5000,1.0,2,8053 29th Ave NW,Seattle,WA 98117,USA
4,20140503T000000,1.0,379880.0,0,0,1986,,1130,520,1650,14054,2.5,3,13256 242nd Pl SE,Issaquah,WA 98027,USA
